rec_num,process
1081,HY
1082,HY
1083,OC
1084,OC
1085,OC
1086,OC
2133,OC
2134,OC
2135,OC
2136,OC
2137,OC
2138,HY
17185,HY
17186,HY
23032,OC
23033,OC
23034,HY
23035,OC
23036,OC
23037,OC
23038,OC
23039,OC
23040,OC
23041,OC
25250,OC
26643,OC
26644,OC
26645,OC
26646,OC
26647,OC
26648,OC
39246,HY
46248,OC
46249,OC
46250,OC
46251,OC
50104,OC
50105,OC
52928,OC
52929,OC
52930,OC
52931,OC
52932,OC
60797,OC
60798,OC
60799,OC
60800,OC
60801,HY
60802,OC
60803,OC
60805,OC
60806,OC
60807,OC
60808,OC
83028,HY
200,GS
39006,GS
39007,GS
39008,GS
39246,GS
41725,GS
43750,GS
43751,GS
43752,GS
46153,GS
46278,GS
46536,GS
46537,GS
49125,GS
49126,GS
49127,GS
53804,GS
53805,GS
60626,GS
60784,GS
60785,GS
71183,GS
72444,GS
72445,GS
72446,GS
75482,GS
75483,GS
77682,GS
80029,GS
85411,GS
85412,GS
101730,GS
101731,GS
113385,GS
113386,GS
116745,GS
133143,GS
133144,GS
149822,GS
149823,GS
21308,HY
38809,HY
82247,HY
32053,OC
32169,OC
32490,OC
32491,OC
32492,OC
34148,OC
34149,OC
34864,OC
35564,OC
36168,OC
36769,OC
36947,OC
38719,OC
39381,OC
39382,OC
39383,OC
42461,OC
46908,OC
46909,OC
46910,OC
46911,OC
52092,OC
53208,OC
53209,OC
53210,OC
53211,OC
53212,OC
53213,OC
53214,OC
53215,OC
54149,OC
54860,OC
55101,OC
60702,OC
63051,OC
63051,OC
63052,OC
64052,OC
65614,OC
65615,OC
65616,OC
72370,OC
72371,OC
72372,OC
72373,OC
72374,OC
72375,OC
72376,OC
72377,OC
72378,OC
72379,OC
72380,OC
72381,OC
72382,OC
72898,OC
72899,OC
72900,OC
72901,OC
72902,OC
72903,OC
72904,OC
72905,OC
72906,OC
74558,OC
76211,OC
85782,OC
87012,OC
103915,OC
103916,OC
109310,OC
110687,OC
114450,OC
126932,OC
35565,WS
39264,WS
46242,WS
48016,WS
52139,WS
54563,WS
59296,WS
59297,WS
71723,WS
77681,WS
87898,WS
106482,WS
106483,WS
110990,WS
110991,WS
114451,WS
124646,WS
127298,WS
127299,WS
